,ctime,title,brief,content
10,2021-01-21 08:26:57,【点金互动易】掌握可降解材料全产业链生产加工技术，这家公司最新表态相关产能满产满销,"①掌握可降解材料全产业链生产加工技术，这家公司最新表态相关产能满产满销；
②已有产品供货Model Y，这个汽车精密零部件制造企业产品远销北美、欧洲等地，客户涵盖麦格纳等国际领先汽车零部件制造厂。","①掌握可降解材料全产业链生产加工技术，这家公司最新表态相关产能满产满销；
②已有产品供货Model Y，这个汽车精密零部件制造企业产品远销北美、欧洲等地，客户涵盖麦格纳等国际领先汽车零部件制造厂。"
11,2021-01-21 08:26:13,早间公告：精艺股份拟向铜陵贸易采购2.5万吨电解铜,【早间公告：精艺股份拟向铜陵贸易采购2.5万吨电解铜】财联社1月21日讯，精艺股份：公司及合并报表范围内子、孙公司与铜陵有色金属集团上海国际贸易有限公司（铜陵贸易）签订了《框架采购合同》，2021年1月15日至2022年1月15日向铜陵贸易预计采购25000吨电解铜。合同执行对公司的经营状况产生积极影响。万讯自控：向不特定对象发行可转换公司债券申请获得深圳证券交易所创业板上市委审核通过。,【早间公告：精艺股份拟向铜陵贸易采购2.5万吨电解铜】财联社1月21日讯，精艺股份：公司及合并报表范围内子、孙公司与铜陵有色金属集团上海国际贸易有限公司（铜陵贸易）签订了《框架采购合同》，2021年1月15日至2022年1月15日向铜陵贸易预计采购25000吨电解铜。合同执行对公司的经营状况产生积极影响。万讯自控：向不特定对象发行可转换公司债券申请获得深圳证券交易所创业板上市委审核通过。
12,2021-01-21 08:23:59,上海两家医疗机构门诊今起停诊,【上海两家医疗机构门诊今起停诊】财联社1月21日讯，疫情防控需要，根据医疗机构今晨告示：自1月21日起，复旦大学附属肿瘤医院徐汇院区（东安路270号）门诊停诊。上海交大医学院附属仁济医院西院区（山东中路145号）门诊停诊。,【上海两家医疗机构门诊今起停诊】财联社1月21日讯，疫情防控需要，根据医疗机构今晨告示：自1月21日起，复旦大学附属肿瘤医院徐汇院区（东安路270号）门诊停诊。上海交大医学院附属仁济医院西院区（山东中路145号）门诊停诊。
13,2021-01-21 08:16:16,中信证券：支付监管架构升级 专注本源业务的支付机构有望持续胜出,【中信证券：支付监管架构升级 专注本源业务的支付机构有望持续胜出】财联社1月21日讯，中信证券研报指出，《非银行支付机构条例（征求意见稿）》作为下阶段支付行业监管的顶层总纲文件，核心在于优化牌照类型、升级准入要求、完善监管要求，预计后续或仍将有准入细则、业务管理办法等多个配套文件落地。展望行业格局，具备客户条件、场景优势和技术基础，同时专注本源业务的支付机构有望持续胜出。,【中信证券：支付监管架构升级 专注本源业务的支付机构有望持续胜出】财联社1月21日讯，中信证券研报指出，《非银行支付机构条例（征求意见稿）》作为下阶段支付行业监管的顶层总纲文件，核心在于优化牌照类型、升级准入要求、完善监管要求，预计后续或仍将有准入细则、业务管理办法等多个配套文件落地。展望行业格局，具备客户条件、场景优势和技术基础，同时专注本源业务的支付机构有望持续胜出。
14,2021-01-21 08:09:19,山西昨日新增2例本土确诊,【山西昨日新增2例本土确诊】财联社1月21日讯，1月20日0-24时，山西省本地新增新冠肺炎确诊病例2例（均为晋中市榆次区无症状感染者转为确诊病例）。累计报告确诊病例137例，治愈出院134例。现有在院隔离治疗病例3例。现有疑似病例0例。,【山西昨日新增2例本土确诊】财联社1月21日讯，1月20日0-24时，山西省本地新增新冠肺炎确诊病例2例（均为晋中市榆次区无症状感染者转为确诊病例）。累计报告确诊病例137例，治愈出院134例。现有在院隔离治疗病例3例。现有疑似病例0例。
15,2021-01-21 08:05:43,消息称iPhone 12 Pro Max的光学防抖系统明年将成iPhone 13全系标配,【消息称iPhone 12 Pro Max的光学防抖系统明年将成iPhone 13全系标配】财联社1月21日讯，据媒体DigiTimes援引业内消息，计划在2021年下半年推出的苹果下一代iPhone都将配备传感器位移式光学防抖系统。目前这个光学防抖系统已经在iPhone 12 Pro Max中出现，但今年四款机型中只有该机型配备了这一系统。该技术可稳定相机的传感器而不是镜头，从而获得更高的图像稳定性和更高的照片质量。,【消息称iPhone 12 Pro Max的光学防抖系统明年将成iPhone 13全系标配】财联社1月21日讯，据媒体DigiTimes援引业内消息，计划在2021年下半年推出的苹果下一代iPhone都将配备传感器位移式光学防抖系统。目前这个光学防抖系统已经在iPhone 12 Pro Max中出现，但今年四款机型中只有该机型配备了这一系统。该技术可稳定相机的传感器而不是镜头，从而获得更高的图像稳定性和更高的照片质量。
16,2021-01-21 08:04:00,【九点特供】继苹果后微软亦投巨资卡位自动驾驶，国内这家公司刚刚在该领域完成战略投资，还为蔚来ET7提供高精度激光雷达,"①继苹果后微软亦投巨资卡位自动驾驶，国内这家公司刚刚在该领域完成战略投资，还为蔚来ET7提供高精度激光雷达；
②供需趋紧+上游材料涨价，国内最大细分半导体元件厂商主打产品提价15%，这家企业旗下公司产品占有率全球第三。","①继苹果后微软亦投巨资卡位自动驾驶，国内这家公司刚刚在该领域完成战略投资，还为蔚来ET7提供高精度激光雷达；
②供需趋紧+上游材料涨价，国内最大细分半导体元件厂商主打产品提价15%，这家企业旗下公司产品占有率全球第三。"
17,2021-01-21 08:01:47,,财联社1月21日讯，日经225指数高开0.66%，报28710.41点。,财联社1月21日讯，日经225指数高开0.66%，报28710.41点。
18,2021-01-21 08:01:34,稀土供需两旺 上市公司扩产增效,【稀土供需两旺 上市公司扩产增效】财联社1月21日讯，近期，稀土价格持续走强。多名产业人士认为，供需关系的改善是刺激价格走高的主因。此外，工信部发布的《稀土管理条例（征求意见稿）》，提振了业内对产业良性发展的信心。关于未来市场需求，华宝证券进行了测算：高性能稀土永磁材料未来5年将保持高速需求增长，市场前景可期，仅新能源汽车、风力发电、节能家电三大低碳经济代表产业，到2025年所需高性能钕铁硼磁材合计就超2019年全球高性能钕铁硼磁材的需求总量。,【稀土供需两旺 上市公司扩产增效】财联社1月21日讯，近期，稀土价格持续走强。多名产业人士认为，供需关系的改善是刺激价格走高的主因。此外，工信部发布的《稀土管理条例（征求意见稿）》，提振了业内对产业良性发展的信心。关于未来市场需求，华宝证券进行了测算：高性能稀土永磁材料未来5年将保持高速需求增长，市场前景可期，仅新能源汽车、风力发电、节能家电三大低碳经济代表产业，到2025年所需高性能钕铁硼磁材合计就超2019年全球高性能钕铁硼磁材的需求总量。
19,2021-01-21 08:00:40,财联社1月21日早间新闻精选,"【财联社1月21日早间新闻精选】
1、国务院应对新冠疫情联防联控机制综合组制定《冬春季农村地区新冠肺炎疫情防控工作方案》。方案指出，返乡人员需持7天内有效新冠病毒核酸检测阴性结果返乡，返乡后实行14天居家健康监测，每7天开展一次核酸检测。
2、南下资金昨日净买入港股203亿港元，已连续21个交易日净买入，连续第三日净买入额超200亿。年内13个交易日，南下资金共计净买入港股2055亿港元。
3、周三港股ETF未能延续昨日涨势，港股100ETF盘中触及跌停，收跌9.88%。港股通50ETF收跌6.7%，上证港股通ETF跌5.6%，恒生ETF、恒生指数ETF均跌超4%。
4、多家百亿级私募透露，近期正紧锣密鼓抓紧发行新产品，以抓住春节前这个较好的时间窗口。中基协数据显示，截至1月20日，淡水泉今年以来已经备案了21只产品。
5、中国煤炭工业协会预计一季度在经济持续恢复、气温逐步回升、春节假日因素等多种因素共同影响下，煤炭需求有望先增后降，煤炭供应将总体稳定，煤炭价格将高位回调。
6、业内人士向记者表示，由于8英寸芯片生产线产能告急，用于汽车和电子产品中的芯片供应情况今年一季度预计仍然紧张，相关产业链企业订单已经排至年底。
7、集邦咨询发布1月下旬面板价格快报，电视、桌上显示器、笔记本面板价格均不同程度上涨。其中，小尺寸、低分辨率面板上涨幅度较大，涨幅在4.8%至5%之间。
8、央行发布《非银行支付机构条例（征求意见稿）》，要求强化支付领域反垄断监管措施。
9、交通运输部介绍，预计2021年全国春运期间发送旅客在17亿人次左右，日均差不多4000万人次，比2019年要下降4成多，比2020年增加一成多。
10、海南省委书记沈晓明谈加快自贸港建设时表示，岛内居民消费进境商品正面清单，有望在2021年春节前出台。
11、两市首份2020年报出炉，沃华医药2020年实现净利润1.79亿元，同比增长86.72%。
12、德方纳米子公司曲靖麟铁一个室外尾气吸收塔发生爆炸，德方纳米称事故不会对公司的生产经营造成重大不利影响。宁德时代回应上述事件称仅是参股，未参与生产运营。
13、昆仑万维预计2020年净利润为46亿-51亿元，同比增长255%-294%。二连板爱迪尔2020年度净利润预计亏损8.4亿元-9.5亿元，近期在积极引入战略投资者。乐心医疗2020年净利预增110%-140%，今年一季度净利预增150%-180%。四连板陕西黑猫预计2020年度实现归属于上市公司股东的净利润为2.5亿元到2.8亿元，同比增加823%到933%。中联重科预计2020年度实现净利润为70亿元-75亿元，同比增长60%-71%。
14、美国当选总统、民主党人拜登在首都华盛顿宣誓就任美国第46任总统。拜登发表就职演说时表示，拒绝“美国孤立”，将修复与盟友关系，与世界再次建立“良好联系”。
15、拜登签署一系列行政令，包括重新加入巴黎气候协定和世卫组织。
16、隔夜美股三大指数齐创历史新高，道指涨0.83%，纳指涨1.97%，标普500指数涨1.39%。科技股集体走强，奈飞涨16.85%，谷歌涨5.36%，均创历史新高。国际原油期货小幅收高，美油涨0.49%，布油涨0.32%。COMEX 2月黄金期货收涨1.43%报1866.50美元/盎司。","【财联社1月21日早间新闻精选】
1、国务院应对新冠疫情联防联控机制综合组制定《冬春季农村地区新冠肺炎疫情防控工作方案》。方案指出，返乡人员需持7天内有效新冠病毒核酸检测阴性结果返乡，返乡后实行14天居家健康监测，每7天开展一次核酸检测。
2、南下资金昨日净买入港股203亿港元，已连续21个交易日净买入，连续第三日净买入额超200亿。年内13个交易日，南下资金共计净买入港股2055亿港元。
3、周三港股ETF未能延续昨日涨势，港股100ETF盘中触及跌停，收跌9.88%。港股通50ETF收跌6.7%，上证港股通ETF跌5.6%，恒生ETF、恒生指数ETF均跌超4%。
4、多家百亿级私募透露，近期正紧锣密鼓抓紧发行新产品，以抓住春节前这个较好的时间窗口。中基协数据显示，截至1月20日，淡水泉今年以来已经备案了21只产品。
5、中国煤炭工业协会预计一季度在经济持续恢复、气温逐步回升、春节假日因素等多种因素共同影响下，煤炭需求有望先增后降，煤炭供应将总体稳定，煤炭价格将高位回调。
6、业内人士向记者表示，由于8英寸芯片生产线产能告急，用于汽车和电子产品中的芯片供应情况今年一季度预计仍然紧张，相关产业链企业订单已经排至年底。
7、集邦咨询发布1月下旬面板价格快报，电视、桌上显示器、笔记本面板价格均不同程度上涨。其中，小尺寸、低分辨率面板上涨幅度较大，涨幅在4.8%至5%之间。
8、央行发布《非银行支付机构条例（征求意见稿）》，要求强化支付领域反垄断监管措施。
9、交通运输部介绍，预计2021年全国春运期间发送旅客在17亿人次左右，日均差不多4000万人次，比2019年要下降4成多，比2020年增加一成多。
10、海南省委书记沈晓明谈加快自贸港建设时表示，岛内居民消费进境商品正面清单，有望在2021年春节前出台。
11、两市首份2020年报出炉，沃华医药2020年实现净利润1.79亿元，同比增长86.72%。
12、德方纳米子公司曲靖麟铁一个室外尾气吸收塔发生爆炸，德方纳米称事故不会对公司的生产经营造成重大不利影响。宁德时代回应上述事件称仅是参股，未参与生产运营。
13、昆仑万维预计2020年净利润为46亿-51亿元，同比增长255%-294%。二连板爱迪尔2020年度净利润预计亏损8.4亿元-9.5亿元，近期在积极引入战略投资者。乐心医疗2020年净利预增110%-140%，今年一季度净利预增150%-180%。四连板陕西黑猫预计2020年度实现归属于上市公司股东的净利润为2.5亿元到2.8亿元，同比增加823%到933%。中联重科预计2020年度实现净利润为70亿元-75亿元，同比增长60%-71%。
14、美国当选总统、民主党人拜登在首都华盛顿宣誓就任美国第46任总统。拜登发表就职演说时表示，拒绝“美国孤立”，将修复与盟友关系，与世界再次建立“良好联系”。
15、拜登签署一系列行政令，包括重新加入巴黎气候协定和世卫组织。
16、隔夜美股三大指数齐创历史新高，道指涨0.83%，纳指涨1.97%，标普500指数涨1.39%。科技股集体走强，奈飞涨16.85%，谷歌涨5.36%，均创历史新高。国际原油期货小幅收高，美油涨0.49%，布油涨0.32%。COMEX 2月黄金期货收涨1.43%报1866.50美元/盎司。"
20,2021-01-21 07:56:39,河北昨日新增20例本土确诊 新增4例无症状感染者,【河北昨日新增20例本土确诊 新增4例无症状感染者】财联社1月21日讯，1月20日0—24时，河北省新增20例本地新型冠状病毒肺炎确诊病例（5例为无症状感染者转为确诊病例），均为石家庄市报告。新增4例本地无症状感染者，均为石家庄市报告。,【河北昨日新增20例本土确诊 新增4例无症状感染者】财联社1月21日讯，1月20日0—24时，河北省新增20例本地新型冠状病毒肺炎确诊病例（5例为无症状感染者转为确诊病例），均为石家庄市报告。新增4例本地无症状感染者，均为石家庄市报告。
21,2021-01-21 07:54:44,,财联社1月21日讯，中国电信在港交所公告，要求复议纽约证交所对美国存托股份下市决定。,财联社1月21日讯，中国电信在港交所公告，要求复议纽约证交所对美国存托股份下市决定。
22,2021-01-21 07:54:40,北京昨日新增2例本地确诊病例,【北京昨日新增2例本地确诊病例】财联社1月21日讯，1月20日，北京新增2例本地确诊病例，均在大兴区，新增1例无症状感染者。,【北京昨日新增2例本地确诊病例】财联社1月21日讯，1月20日，北京新增2例本地确诊病例，均在大兴区，新增1例无症状感染者。
23,2021-01-21 07:54:00,上海昨日无新增本地新冠肺炎确诊病例 新增境外输入9例,【上海昨日无新增本地新冠肺炎确诊病例 新增境外输入9例】财联社1月21日讯，上海市卫健委通报，1月20日0—24时，通过口岸联防联控机制，报告9例境外输入性新冠肺炎确诊病例。新增治愈出院1例，来自法国。无新增本地新冠肺炎确诊病例。,【上海昨日无新增本地新冠肺炎确诊病例 新增境外输入9例】财联社1月21日讯，上海市卫健委通报，1月20日0—24时，通过口岸联防联控机制，报告9例境外输入性新冠肺炎确诊病例。新增治愈出院1例，来自法国。无新增本地新冠肺炎确诊病例。
24,2021-01-21 07:50:54,,财联社1月21日讯，日本12月份出口同比增长2.0%，预估为2.4%。,财联社1月21日讯，日本12月份出口同比增长2.0%，预估为2.4%。
25,2021-01-21 07:43:22,【盘中宝·突发】减产60%，这一国家重要行业正出现不可逆转的变化,最新动态！减产60%，这一国家重要行业正出现不可逆转的变化。,最新动态！减产60%，这一国家重要行业正出现不可逆转的变化。
26,2021-01-21 07:35:33,黑龙江昨日新增68例确诊 新增85例无症状感染者,【黑龙江昨日新增68例确诊 新增85例无症状感染者】财联社1月21日讯，1月20日0-24时，黑龙江省新增新冠肺炎确诊病例68例（绥化市望奎县65例，其中望奎县无症状感染者转为确诊病例13例，绥化海伦市2例，哈尔滨市道里区1例）。新增无症状感染者85例（绥化市望奎县48例，绥化海伦市7例，绥化市绥棱县1例，绥化安达市3例，哈尔滨市利民开发区14例，哈尔滨市呼兰区5例，哈尔滨市南岗区2例，大庆市肇州县1例，齐齐哈尔市富拉尔基区3例，齐齐哈尔市建华区1例）。,【黑龙江昨日新增68例确诊 新增85例无症状感染者】财联社1月21日讯，1月20日0-24时，黑龙江省新增新冠肺炎确诊病例68例（绥化市望奎县65例，其中望奎县无症状感染者转为确诊病例13例，绥化海伦市2例，哈尔滨市道里区1例）。新增无症状感染者85例（绥化市望奎县48例，绥化海伦市7例，绥化市绥棱县1例，绥化安达市3例，哈尔滨市利民开发区14例，哈尔滨市呼兰区5例，哈尔滨市南岗区2例，大庆市肇州县1例，齐齐哈尔市富拉尔基区3例，齐齐哈尔市建华区1例）。
27,2021-01-21 07:34:46,比亚迪股份：拟配售1.33亿股H股股份 融资299亿港元,【比亚迪股份：拟配售1.33亿股H股股份 融资299亿港元】财联社1月21日讯，比亚迪股份在港交所公告，拟配售1.33亿股H股股份，每股225港元，预计配股融资299亿港元。,【比亚迪股份：拟配售1.33亿股H股股份 融资299亿港元】财联社1月21日讯，比亚迪股份在港交所公告，拟配售1.33亿股H股股份，每股225港元，预计配股融资299亿港元。
28,2021-01-21 07:32:20,中国移动、中国联通要求纽约证交所复议下市决定,【中国移动、中国联通要求纽约证交所复议下市决定】财联社1月21日讯，中国联通、中国移动在港公告：于1月20日向纽约证交所提出书面要求，要求纽约证交所董事会的一个委员会复议下市决定。根据纽约证交所上市公司手册，复议将获安排在提出复议要求之日起至少25个工作日后举行。已要求该委员会推翻该决定，及在复议该决定前暂缓暂停美国存托证券之买卖。,【中国移动、中国联通要求纽约证交所复议下市决定】财联社1月21日讯，中国联通、中国移动在港公告：于1月20日向纽约证交所提出书面要求，要求纽约证交所董事会的一个委员会复议下市决定。根据纽约证交所上市公司手册，复议将获安排在提出复议要求之日起至少25个工作日后举行。已要求该委员会推翻该决定，及在复议该决定前暂缓暂停美国存托证券之买卖。
29,2021-01-21 07:26:07,税收数据显示深圳产业经济发展韧劲十足,【税收数据显示深圳产业经济发展韧劲十足】财联社1月21日讯，昨日，深圳市税务局召开2021年全市税务工作会议，总结“十三五”时期和2020年税收工作。记者获悉，2020年，深圳实现全口径税收收入8596.8亿元，社保费收入397.9亿元，非税收入182.4亿元。多项税收数据可见，科技创新成为深圳经济税收最重要的驱动力，国内国外“双循环”并驾齐驱，民营经济展现出强大活力，深圳产业经济发展活力和韧劲十足。,【税收数据显示深圳产业经济发展韧劲十足】财联社1月21日讯，昨日，深圳市税务局召开2021年全市税务工作会议，总结“十三五”时期和2020年税收工作。记者获悉，2020年，深圳实现全口径税收收入8596.8亿元，社保费收入397.9亿元，非税收入182.4亿元。多项税收数据可见，科技创新成为深圳经济税收最重要的驱动力，国内国外“双循环”并驾齐驱，民营经济展现出强大活力，深圳产业经济发展活力和韧劲十足。
30,2021-01-21 07:22:45,1月21日《人民日报》要闻精选十一条,"【1月21日《人民日报》要闻精选十一条】财联社1月21日讯，今天《人民日报》的主要内容有：
1、李克强主持召开国务院全体会议，讨论《政府工作报告（征求意见稿）》和《“十四五”规划和二〇三五年远景目标纲要（草案）（征求意见稿）》。
2、人大常委会第二十五次会议分组审议动物防疫法修订草案、行政处罚法修订草案等。
3、国务院联防联控机制印发通知提出七方面措施，进一步做好当前新冠肺炎疫情防控工作。
4、外交部：希望美国新一届政府同中方相向而行，推动中美关系尽快回到正确发展轨道。
5、外交部发言人宣布中方对蓬佩奥等人实施制裁。
6、国家卫健委主任马晓伟撰文：提高应对突发公共卫生事件能力。
7、我国实际使用外资规模创新高，同比增长6.2%，占全球比重继续提升。
8、去年全社会用电量增长百分之三点一，电力需求呈稳步回升态势。
9、第四届进博会招展全面启动。
10、全国铁路实行新列车运行图，增开旅客列车325列。
11、让“就地过节”更有温度（人民时评）。","【1月21日《人民日报》要闻精选十一条】财联社1月21日讯，今天《人民日报》的主要内容有：
1、李克强主持召开国务院全体会议，讨论《政府工作报告（征求意见稿）》和《“十四五”规划和二〇三五年远景目标纲要（草案）（征求意见稿）》。
2、人大常委会第二十五次会议分组审议动物防疫法修订草案、行政处罚法修订草案等。
3、国务院联防联控机制印发通知提出七方面措施，进一步做好当前新冠肺炎疫情防控工作。
4、外交部：希望美国新一届政府同中方相向而行，推动中美关系尽快回到正确发展轨道。
5、外交部发言人宣布中方对蓬佩奥等人实施制裁。
6、国家卫健委主任马晓伟撰文：提高应对突发公共卫生事件能力。
7、我国实际使用外资规模创新高，同比增长6.2%，占全球比重继续提升。
8、去年全社会用电量增长百分之三点一，电力需求呈稳步回升态势。
9、第四届进博会招展全面启动。
10、全国铁路实行新列车运行图，增开旅客列车325列。
11、让“就地过节”更有温度（人民时评）。"
31,2021-01-21 07:20:15,【研选晨会精选】北上资金连续扫货这家电子细分赛道龙头，行业最新产品报价全线上涨，分析师上看40%目标空间,"①北上资金连续扫货这家电子细分赛道龙头，行业最新产品报价全线上涨，分析师上看40%目标空间；
②这家光伏赛道细分龙头业绩大超预期，主营产品量价齐升，超预期幅度竟超20%。","①北上资金连续扫货这家电子细分赛道龙头，行业最新产品报价全线上涨，分析师上看40%目标空间；
②这家光伏赛道细分龙头业绩大超预期，主营产品量价齐升，超预期幅度竟超20%。"
32,2021-01-21 07:17:46,上海复旦大学附属肿瘤医院徐汇院区今起门诊停诊,【上海复旦大学附属肿瘤医院徐汇院区今起门诊停诊】财联社1月21日讯，上海复旦大学附属肿瘤医院发布通知：因疫情防控需要，自1月21日起，复旦大学附属肿瘤医院徐汇院区（东安路270号）门诊停诊。,【上海复旦大学附属肿瘤医院徐汇院区今起门诊停诊】财联社1月21日讯，上海复旦大学附属肿瘤医院发布通知：因疫情防控需要，自1月21日起，复旦大学附属肿瘤医院徐汇院区（东安路270号）门诊停诊。
33,2021-01-21 07:13:38,青岛平度发现2例新冠阳性,【青岛平度发现2例新冠阳性】财联社1月21日讯，据山东省平度市委统筹疫情防控和经济运行工作领导小组（指挥部）办公室，昨天下午，平度市确定两名从外省返平新型冠状病毒核酸检测阳性患者。患者张某平，男，38岁，山东省菏泽市人；患者王某，女，40岁，黑龙江省齐齐哈尔市人，两人均居住平度市深圳路617号吉斯亿家居厂房大院。,【青岛平度发现2例新冠阳性】财联社1月21日讯，据山东省平度市委统筹疫情防控和经济运行工作领导小组（指挥部）办公室，昨天下午，平度市确定两名从外省返平新型冠状病毒核酸检测阳性患者。患者张某平，男，38岁，山东省菏泽市人；患者王某，女，40岁，黑龙江省齐齐哈尔市人，两人均居住平度市深圳路617号吉斯亿家居厂房大院。
34,2021-01-21 07:04:49,反垄断成监管高频词 A股投资者相关问询增多,【反垄断成监管高频词 A股投资者相关问询增多】财联社1月21日讯，近年来，反垄断被多个国家重要会议和多部门频频提及。在资本市场中，投资者对上市公司涉及反垄断的话题关注度提升。市场人士认为，目前反垄断主要集中于平台企业的监管，目的是为了激发创新活力，对于传统行业，投资者无需过度敏感。从国外经验来看，反垄断并没有改变互联网企业的发展逻辑，不会对股价形成长期压制。金融领域的反垄断，主要是将金融创新及其平台企业纳入监管，有助于完善金融领域市场竞争环境，维护金融市场稳定。,【反垄断成监管高频词 A股投资者相关问询增多】财联社1月21日讯，近年来，反垄断被多个国家重要会议和多部门频频提及。在资本市场中，投资者对上市公司涉及反垄断的话题关注度提升。市场人士认为，目前反垄断主要集中于平台企业的监管，目的是为了激发创新活力，对于传统行业，投资者无需过度敏感。从国外经验来看，反垄断并没有改变互联网企业的发展逻辑，不会对股价形成长期压制。金融领域的反垄断，主要是将金融创新及其平台企业纳入监管，有助于完善金融领域市场竞争环境，维护金融市场稳定。
